ABS 	data_type       	    #ABS (absolute), REL (tangential), DIF (differential coorinates) or CPV (camera pointing vector)
Triton 	moon_entry         	    #Target body
0		time_entry             	#First time entry
3		amount_time_entries  	#Amount of time entries
DATE    time_type          	    #JD, MJD, J2000, DATE, MINsinceJDaddingtheJD
utc		time_scale		        #time scale,lower case
0		time_delta          	#hours away from standard time scale (i.e. utc-3 is -3)
3		RA_entry           	    #First RA or X entry
6		DEC_entry             	#First DEC or Y entry
1		number_observatories  	#Amount of observatories, needs extra definition which one if 1
286		observatory       	    #Ignored if more than 1 observatory
0		observatory_entrace	    #Ignored if 1 observatory
8		relative_body_entry  	#Ignored if ABS, can either be a name or entry position
False	process_relative        #Switch for processing relative observations or not
J2000   Epoch of equinox        #J2000, B1950
Neptune central_body            #name or number
2020 10 24.583229 23 18 23.3947 -05 41 13.917 
2020 10 24.583866 23 18 23.3890 -05 41 13.960 
2020 10 24.584502 23 18 23.3862 -05 41 13.990 
2020 10 24.585139 23 18 23.3814 -05 41 14.018 
2020 10 24.585775 23 18 23.3800 -05 41 14.012 
2020 10 24.587049 23 18 23.3728 -05 41 14.077 
2020 10 24.588322 23 18 23.3663 -05 41 14.077 
2020 10 24.588958 23 18 23.3645 -05 41 14.123 
2020 10 24.589595 23 18 23.3596 -05 41 14.139 
2020 10 24.590231 23 18 23.3583 -05 41 14.131 
2020 10 24.590868 23 18 23.3544 -05 41 14.176 
2020 10 24.591505 23 18 23.3507 -05 41 14.148 
2020 10 24.592141 23 18 23.3472 -05 41 14.220 
2020 10 24.592778 23 18 23.3456 -05 41 14.219 
2020 10 24.593414 23 18 23.3400 -05 41 14.291 
2020 10 24.594051 23 18 23.3389 -05 41 14.262 
2020 10 24.594687 23 18 23.3347 -05 41 14.243 
2020 10 24.595324 23 18 23.3310 -05 41 14.289 
2020 10 24.595961 23 18 23.3271 -05 41 14.303 
2020 10 24.597234 23 18 23.3217 -05 41 14.363 
2020 10 24.597859 23 18 23.3214 -05 41 14.350 
2020 10 24.598495 23 18 23.3151 -05 41 14.411 
2020 10 24.599132 23 18 23.3118 -05 41 14.403 
2020 10 24.599769 23 18 23.3103 -05 41 14.426 
2020 10 24.600405 23 18 23.3068 -05 41 14.436 
2020 10 24.601042 23 18 23.3011 -05 41 14.524 
2020 10 24.602060 23 18 23.2975 -05 41 14.495 
2020 10 24.602697 23 18 23.2948 -05 41 14.513 
2020 10 24.603333 23 18 23.2901 -05 41 14.516 
2020 10 24.603970 23 18 23.2873 -05 41 14.561 
2020 10 24.604606 23 18 23.2839 -05 41 14.561 
2020 10 24.605243 23 18 23.2813 -05 41 14.599 
2020 10 24.605880 23 18 23.2792 -05 41 14.670 
2020 10 24.606516 23 18 23.2736 -05 41 14.638 
2020 10 24.607153 23 18 23.2719 -05 41 14.644 
2020 10 24.607789 23 18 23.2673 -05 41 14.603 
2020 10 24.608426 23 18 23.2674 -05 41 14.685 
2020 10 24.609063 23 18 23.2637 -05 41 14.673 
2020 10 24.609687 23 18 23.2601 -05 41 14.729 
2020 10 24.611597 23 18 23.2506 -05 41 14.785 
2020 10 24.612234 23 18 23.2461 -05 41 14.807 
2020 10 24.612963 23 18 23.2445 -05 41 14.799 
2020 10 24.613600 23 18 23.2407 -05 41 14.802 
2020 10 24.614236 23 18 23.2357 -05 41 14.873 
2020 10 24.614861 23 18 23.2327 -05 41 14.874 
2020 10 24.615498 23 18 23.2310 -05 41 14.853 
2020 10 24.616134 23 18 23.2254 -05 41 14.941 
2020 10 24.616771 23 18 23.2250 -05 41 14.921 
2020 10 24.617407 23 18 23.2215 -05 41 14.975 
2020 10 24.618044 23 18 23.2165 -05 41 14.992 
2020 10 24.618681 23 18 23.2143 -05 41 14.971 
2020 10 24.619954 23 18 23.2075 -05 41 15.020 
2020 10 24.620590 23 18 23.2037 -05 41 15.048 
2020 10 24.692095 23 18 22.8434 -05 41 17.102 
2020 10 24.692384 23 18 22.8428 -05 41 17.091 
2020 10 24.692674 23 18 22.8412 -05 41 17.064 
2020 10 24.692963 23 18 22.8414 -05 41 17.098 
2020 10 24.693252 23 18 22.8374 -05 41 17.082 
2020 10 24.693542 23 18 22.8365 -05 41 17.127 
2020 10 24.693831 23 18 22.8366 -05 41 17.126 
2020 10 24.694120 23 18 22.8329 -05 41 17.137 
2020 10 24.694410 23 18 22.8337 -05 41 17.142 
2020 10 24.694699 23 18 22.8297 -05 41 17.204 
2020 10 24.694988 23 18 22.8304 -05 41 17.123 
2020 10 24.695278 23 18 22.8281 -05 41 17.202 
2020 10 24.695567 23 18 22.8278 -05 41 17.139 
2020 10 24.695856 23 18 22.8273 -05 41 17.191 
2020 10 24.696146 23 18 22.8233 -05 41 17.171 
2020 10 24.696435 23 18 22.8223 -05 41 17.152 
2020 10 24.696725 23 18 22.8216 -05 41 17.183 
2020 10 24.697014 23 18 22.8188 -05 41 17.194 
