Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
240026286.18526566,-0.6876289921214079,-0.0048874327826891484,-1.022789154481174e-07,-2.504768815015518e-07
240026406.18622562,-0.6876295189851551,-0.004887511714758353,9.701350855984003e-08,-4.006934736571974e-07
240026526.1871856,-0.6876301679946994,-0.004887196824609339,1.7404869356862918e-07,-1.572059784328561e-07
240026586.68446657,-0.6876305069196128,-0.004887354147668739,2.0110943743656406e-07,-3.505706717326154e-07
240026647.18174556,-0.6876307459552164,-0.0048872535011887305,3.280308382702657e-07,-2.859957425813131e-07
240027365.18302637,-0.6876353723841165,-0.004886422459611515,4.267320685702458e-08,1.1466520882970344e-07
240027486.18622535,-0.6876362614745016,-0.004886569079730793,-1.1523735410357006e-07,-1.0489608932243849e-07
240028084.1865462,-0.687639507526428,-0.004886467042240496,2.5042317064460917e-07,-3.650543208850304e-07
240028265.18590513,-0.687640740969745,-0.004886104386646442,1.0955395823852854e-07,-1.1258598814605641e-07
240028325.1820661,-0.6876410600172743,-0.004886580313824643,1.5260140440176428e-07,-6.250941712391406e-07
240028384.18462512,-0.6876416472526389,-0.00488585148629861,-7.856614836487807e-08,6.773053340316387e-08
240028445.18302506,-0.6876417038111852,-0.004886221152427813,2.329557079461253e-07,-3.3918503400051647e-07
240028625.18014604,-0.6876429569407132,-0.00488561666375071,6.57861636277346e-08,1.552160376261033e-07
240028684.18270501,-0.6876432355903052,-0.004886095916212763,1.4304912376861267e-07,-3.601780026009707e-07
240028863.18622598,-0.6876441702575466,-0.004885940881607002,2.8796956919041605e-07,-3.1495677367630176e-07
240028985.18302596,-0.6876452021118636,-0.004885702106448497,-8.274352314430189e-09,-1.5116579492584908e-07
240029284.17886487,-0.6876469276924331,-0.0048856396981297135,6.844645505932334e-08,-2.7301930793487833e-07
240029406.18430585,-0.6876476493840985,-0.004885903843062939,8.195034784108657e-08,-6.12550155116437e-07
240029464.1846258,-0.6876479004541242,-0.004885425861555703,1.8033773996339875e-07,-1.7044648302749071e-07
240029525.1830258,-0.6876483440646067,-0.004885696363344397,1.042147846908037e-07,-4.787084327195421e-07
240029945.1820657,-0.6876509983348361,-0.004885383768828631,-2.0697499381050477e-08,-4.2687742973605836e-07
240030185.18398464,-0.6876523390168544,-0.004885000482453534,8.323226519113547e-08,-1.9319961040535627e-07
240030304.1827056,-0.6876528236541085,-0.004885103810761477,3.1466299665883213e-07,-3.7086791739374125e-07
240030424.18366557,-0.6876537158468007,-0.004885162461260632,1.4443021889576357e-07,-5.045917834053948e-07
240030545.18686453,-0.6876542792251769,-0.004885014372161148,3.08899280931918e-07,-4.3231174583820836e-07
240030906.18334442,-0.6876567869042007,-0.00488492993802345,-2.8204244939544765e-08,-5.746883259029334e-07
240030966.17950442,-0.6876569505716638,-0.004884706280591648,1.6874350117213055e-07,-3.8881902117253453e-07
240031085.18686438,-0.6876578097357734,-0.004884571464986016,2.4782564334024926e-08,-3.29037402786031e-07
240031205.17918536,-0.6876583394212484,-0.004884051153585875,2.1607482181273951e-07,1.1551416472486975e-07
240031385.1849443,-0.6876598260796407,-0.004884043334442972,-1.892877871112475e-07,9.486093083786729e-09
240031985.18110415,-0.6876630549550388,-0.004884064693562688,1.8360099030001464e-07,-3.930368444740942e-07
240033426.18622476,-0.6876717244348713,-0.004883094428533017,1.4868638653631194e-07,-3.4856346436788754e-07
240033546.18718472,-0.6876727424834439,-0.004883141544643492,-1.5135022291001832e-07,-4.734191005485028e-07
240033726.18430367,-0.6876741851550755,-0.0048823507540886124,-5.173374798550512e-07,2.005833142837074e-07
240033906.18142465,-0.6876744576194521,-0.004882371851884705,2.865105651617128e-07,6.248068925435168e-08
240038105.18686253,-0.6876993567025647,-0.004879183906789808,3.830610632027387e-07,4.630594266476565e-07
240038705.18302235,-0.6877031289398515,-0.004879161091562009,1.635781246012158e-07,7.917462323866337e-08
240038826.18622333,-0.6877042476248553,-0.004878898318743362,-2.3921846925567536e-07,2.5969204428110543e-07
240285605.1839183,-0.6889142299400038,-0.004826400834661939,2.2623167961199897e-07,1.9796911217891816e-07
240285726.18711826,-0.688915052360272,-0.004826621198636606,3.153665317778831e-08,5.9387922278671124e-08
