Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
44492396.084933564,-0.8961030183980095,0.0025686667297086852,3.0467301126435586e-07,4.153299660311985e-08
44493081.18493338,-0.8961051357420698,0.002568787630960096,3.0723982924474313e-07,-7.3986923636304436e-09
44493698.18493322,-0.8961071736436647,0.0025689372596191507,1.7755370185223995e-07,-1.5160229074277082e-08
46303963.18440728,-0.901539964549205,0.002626128548123823,-6.326860113592403e-08,-5.875977827181009e-08
46304953.08440697,-0.9015433345726096,0.0026255783543515207,-1.5268172137705704e-07,-7.314737914291755e-08
46305703.18440674,-0.901545910963378,0.002625316894963343,-2.369329323848035e-07,7.451875347428555e-08
46388032.18438152,-0.9018524114801185,0.0025646470954633813,-8.147185226459186e-08,-1.2030469404922597e-07
46389075.1843812,-0.9018570549207096,0.0025638864820418054,-1.8993466766037415e-07,-9.280244179198094e-08
50691800.08306773,-0.9239134293589678,0.0024370922143476417,-1.8626057551873743e-07,3.353161658506236e-07
50692119.18306765,-0.9239151600308522,0.002437293530663,-2.080733985110328e-07,3.0301929974290223e-07
50692440.18306756,-0.9239168417140954,0.0024376824818095567,-1.7173357225175323e-07,4.5679668050479377e-07
50784769.08304335,-0.9243576381912847,0.002486893247257731,-6.988098177895807e-08,3.671159223548638e-07
50785902.18304306,-0.9243627211135569,0.002487367727013493,-7.49619085693709e-08,5.839482707082309e-07
50786852.083042815,-0.9243670394122009,0.002487492377649094,-1.409742130809022e-07,4.996446375323156e-07
50868185.08302182,-0.9247238864494579,0.0024721050778396206,1.0214440326894447e-07,2.711361249355809e-07
50869175.18302157,-0.9247286919564988,0.0024714544340058344,-9.785445043153373e-08,1.4181842230252817e-07
50869985.18302136,-0.9247323489706154,0.0024711054959657406,1.9233947323726852e-08,2.2301578150732762e-07
50956279.182999425,-0.925166174564576,0.0024073540743015922,-2.010117358119956e-07,4.143632558175833e-07
50957425.182999134,-0.9251725353730023,0.0024062063599640236,-1.2138207061695994e-07,1.543338531404849e-07
51900886.08278163,-0.930006038051662,0.0024175490109724354,-4.280539622758539e-07,1.2250734746001996e-07
51901194.08278156,-0.9300072644954244,0.0024172155769423957,-3.1679621315117146e-07,-1.2885529769492837e-08
51992717.0827624,-0.930443952474209,0.0023468315568702584,-5.652137086142872e-07,1.3624455390921428e-07
51993054.18276233,-0.9304455916102793,0.0023465547039115318,-3.946641120577965e-07,9.705565450412665e-08
52074867.08274547,-0.9309032194135143,0.0023098737274627377,-4.6693399724517803e-07,4.803275319895627e-07
52075203.0827454,-0.9309051316029603,0.0023099176610151414,-4.125233827867447e-07,5.540329702387846e-07
52075513.082745336,-0.9309069952304426,0.0023095984924337166,-4.616197929463439e-07,2.6115505334829703e-07
52251361.18271001,-0.9318103112610258,0.0023952417926384737,-2.3297071038985706e-07,1.6961182899713836e-07
52252066.182709865,-0.931813401105635,0.0023956895334614078,-3.4977842833239237e-07,1.6757284120169288e-07
52252664.182709746,-0.9318157321516628,0.0023960413848311333,-1.638707942674955e-07,1.3913695390927946e-07
78011114.7843505,-0.86323759432365,0.001316908854652481,-1.7025786347435456e-07,-2.921963675010797e-08
78013349.7843498,-0.8632484784963564,0.0013176577490318444,-1.9809909079793186e-07,2.1873213165409314e-08
79903954.28375015,-0.8718025308392043,0.0012915280014187424,-4.198736661686908e-07,3.230358980527495e-08
79905325.38374972,-0.8718100522557591,0.0012903538216215479,-3.1883592999104593e-07,-9.788384216537216e-08
80428068.1835864,-0.8745600199543266,0.0012608870148060807,-1.5832172162166813e-07,-4.214778549240482e-08
80428639.68358622,-0.8745635596251714,0.001260310922917643,-3.0887465041207207e-07,-2.234969400964279e-07
80514070.98355967,-0.8750918275360778,0.0012248377723962462,3.9967618992164944e-08,1.2183471499293413e-07
80514645.0835595,-0.8750954652544497,0.0012249424884424255,1.0598891397872734e-07,2.388755332640054e-07
112565754.48339699,-0.8385338417550234,8.832176435603828e-06,8.974621623636381e-08,-2.381294438844884e-07
112566400.3833968,-0.8385380879813827,9.154370331739852e-06,-1.4865165365307575e-07,-2.5290218789494975e-07
113685766.18308091,-0.8446911741815092,3.9920237946947584e-05,2.3905132018331443e-07,-1.7941789666971512e-07
113686442.98308073,-0.8446946578069424,4.036807885549684e-05,1.6809938796491508e-07,-1.8233042847129314e-07
113771530.58305795,-0.8450883326210813,6.976789193248547e-05,2.1122651039373608e-07,-2.385914120569345e-07
113772275.88305774,-0.8450919633722743,6.995493626620518e-05,-3.0801210249009614e-08,-5.018604194252706e-08
113856917.3830353,-0.8454851011947809,3.609323113108701e-05,1.892272109005333e-07,-1.407903048454532e-07
113857641.4830351,-0.8454887859744904,3.558913463187318e-05,1.7982928146587085e-07,-1.5032274568616433e-07
114891905.98278616,-0.8509890476241326,-1.7178900553263753e-05,1.2617185718433177e-07,-9.084916137457234e-08
114892633.682786,-0.8509928366548064,-1.7810306639656318e-05,-3.2058006360635716e-08,-1.737252649981401e-07
117304187.88241653,-0.8616203314522486,-6.773800930737495e-05,1.828822351335191e-07,-8.211942515168335e-08
117304910.08241647,-0.861622145203578,-6.752817576845446e-05,1.6332201246971323e-07,-1.807447632026489e-08
117392380.48240954,-0.8618338155028424,-8.701434661466245e-05,1.1409340250345679e-08,-5.077073332437215e-08
117393138.38240948,-0.8618358539876029,-8.734570546723399e-05,2.040914415246675e-08,4.346383194507391e-08
119028665.382369,-0.8657187194005193,-0.00022627660852430904,-1.9190692202020188e-07,2.14293734371253e-07
119029078.88236901,-0.8657196642648167,-0.00022656504865417097,-2.6561760513299504e-07,1.8439045732451006e-07
119114364.18237126,-0.8659097693714547,-0.0002542281391585309,3.0785064553118247e-07,3.5931740284170883e-07
