Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-427902258.0633,-1.482980499921509,0.019351922424759062,-2.2398347576668698e-07,-1.7198291753714456e-06
-392226787.408622,-1.4655644859145245,0.018118052124645213,3.7208969980717654e-06,2.4973802768904485e-06
-390243444.305143,-1.4730055908837234,0.017918551960712643,-6.500842322232359e-07,-1.760592511050596e-07
-390070576.049186,-1.4736121934971504,0.017918478568219525,-2.7022061159787114e-06,8.422649716947894e-07
-388086458.801566,-1.476529454615758,0.01761702935702402,1.3485879788444066e-06,-1.12073517917477e-07
-388000893.425564,-1.4765947767486884,0.017660189160126363,1.8347960872855396e-06,-1.7708981906311427e-06
-387570115.121613,-1.4765101101502767,0.017547685425540326,-2.495987090345153e-07,8.156606832385171e-07
-387483369.521597,-1.4765077506550803,0.01759261746405696,4.061375667330225e-06,-1.385231193393871e-06
-387310708.62565,-1.4762948817435313,0.01759291215329653,-4.2537746591797543e-07,1.7616045344948095e-06
-387225701.393634,-1.47619330358736,0.017520807154847017,-9.69667336647717e-07,1.3568213739975632e-06
-387139615.025648,-1.476158333270329,0.017470039150224197,-3.1908000213132226e-06,2.5073982083227697e-06
-357501251.785393,-1.4374605733506505,0.0168681946888228,4.724289210944477e-07,-2.5290539595115846e-06
-356552550.409533,-1.4385341908709863,0.016695374780803067,2.103555290400294e-06,7.999510377373897e-07
-356465986.24953,-1.438574394205515,0.016740097621281386,3.7164506234699246e-06,-1.5222041139621723e-06
-356380300.77758,-1.438546794986596,0.016739356712337772,-2.547151632059652e-06,-2.592944152456783e-06
-331225280.327949,-1.3768271352277939,0.016245995379713905,-4.0699712289260503e-07,8.769186217935654e-07
-329069713.512634,-1.388161633916593,0.01620394853101361,-9.249741987904514e-07,-1.6182185963234397e-06
-328724762.376747,-1.3896953966157533,0.016085264416325674,5.5565673173774144e-08,3.0163874327644724e-06
-326654255.497245,-1.3974577516691542,0.01588099742257488,-1.6338986568165126e-06,5.969551568688058e-07
-326567904.745299,-1.397738628915339,0.015924301793623703,3.3033407587090835e-07,-2.7350359257313772e-06
-326222855.977352,-1.398473774776877,0.015820850929852314,-3.901573150111304e-06,-3.251883460182736e-07
-325790951.881398,-1.3993068059856844,0.015805700672221843,2.261109553813867e-06,-1.7938753773781568e-06
-325704694.441438,-1.399500939084907,0.01575365284381648,-2.7832110127690157e-06,-1.0621308050746958e-06
-324238603.945591,-1.4005765490073803,0.015588147467039208,-1.9730410845131274e-06,2.1159504602057816e-06
-323980403.593598,-1.4006240085210477,0.015625296368488265,2.195269628746388e-06,-2.073958108736451e-06
-293223799.713568,-1.3624366138269277,0.014627507625066517,-1.4562779129256853e-06,-1.1098965434150343e-06
-293051266.68959,-1.3626671665508456,0.01467301476789702,3.660649108505609e-06,1.641738218271377e-07
-292791272.673619,-1.362621731512227,0.014614844545877146,-2.7388301544473137e-06,-6.056659536037706e-07
-292704878.721625,-1.3626732952586467,0.014564678520775127,-1.0827179668382314e-06,4.255194478537325e-06
-290462786.625597,-1.3597671850012094,0.014376871914837105,1.4861635218021974e-06,5.482970126223508e-07
-265047994.072933,-1.3146182037719405,0.014056278836969091,-1.2195896745836876e-06,-8.130905924576964e-07
-263065368.089363,-1.3218188160153255,0.013838997692254747,1.5799273667127522e-06,-8.259008264770856e-07
-262634859.353453,-1.3228447312607263,0.013736159957782,3.105407643255731e-06,3.780204914753671e-07
-262117219.673489,-1.323819300475271,0.013686862967379261,1.7425913427793205e-06,3.369529764159218e-06
-260564527.001671,-1.3247516216097261,0.013516087953858827,-3.4619313660222417e-07,-3.4385728141603927e-06
-260478311.897671,-1.3246827529966534,0.013556872377377517,2.487800997208467e-06,-3.484794076467554e-06
-260135132.825638,-1.3244181562794433,0.013417627363938492,1.2688867956356376e-08,1.4635899495824e-06
-259874454.521647,-1.3240563743851688,0.01347613193432917,5.994956138177798e-07,-1.1108250931330527e-06
-259440588.281599,-1.3234407013935598,0.013436086717423317,-5.410612731182596e-07,-2.891661657606834e-06
-236702721.743931,-1.2589234133305531,0.013082543021597788,3.72698151829276e-06,-2.721429493694749e-06
-236185496.784107,-1.261746978486103,0.013075585445452313,-4.740617225440502e-07,-2.3799104446903946e-06
-233856265.968812,-1.2738743057795636,0.012906947795424792,-1.7788288881881442e-06,-6.286630992360237e-07
-233769253.392854,-1.2743589582772294,0.012880923074677864,1.0470726781175443e-06,1.2826670659493722e-06
-232307911.441237,-1.280523489402765,0.01276530893965735,-1.2336127641621175e-06,-1.5542551423438494e-06
-232221223.729259,-1.2809142429968032,0.012757968629753882,-3.1428693625379367e-07,1.7325289614206207e-06
-229028082.769682,-1.2867787842411802,0.012505943180094261,-7.622066742207778e-07,-2.2158391969930025e-06
-228854798.065652,-1.2866026353959068,0.012463502121892045,-2.8586092004623254e-07,3.373065454500418e-07
-228769729.489651,-1.2865717106014247,0.012395690886451503,1.262098562326841e-06,9.59367385720833e-07
-200590392.681246,-1.2424473415815116,0.011748709005282,-1.4173487206114999e-07,-2.9541936522811674e-06
-198871291.017531,-1.2471466877727493,0.011536274576177525,-8.136859797058804e-07,-2.3988568762893514e-06
-198357070.185569,-1.2479509119499914,0.011477243237037705,-2.9466720494752963e-06,-2.930393326982042e-06
-196802951.913679,-1.2483614747889547,0.011292521358855664,-2.686039727750611e-06,1.551250349670491e-06
-196023693.897647,-1.2475255053283,0.011276515541320434,-9.997260324023927e-07,-3.4367807903723513e-07
