Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
239858572.4755507,-0.6865691468286642,-0.004869188755806043,-5.417096248239162e-07,2.77026078365078e-07
239858813.09955063,-0.6865704184611678,-0.004869222052193409,-3.434185589235028e-07,4.1792380435501375e-07
239859052.51395154,-0.6865718696540194,-0.004869348482228061,-3.3140667821118797e-07,4.6446939175066176e-07
239859293.0515515,-0.6865735004070598,-0.004869568046118434,-4.914238124209547e-07,4.183481676070175e-07
239860385.17347118,-0.6865800550023268,-0.004871202823339237,-3.601642316608533e-07,-4.3328384628955885e-07
239860505.18307015,-0.6865808805455996,-0.004871232480979704,-4.502174971721118e-07,-3.7731826491027576e-07
239860745.2022711,-0.6865822805366724,-0.00487142724761808,-3.7876132108483063e-07,-4.010960937307628e-07
239860865.29827008,-0.6865833677037572,-0.004871573626507307,-7.294430005577723e-07,-4.620479295263519e-07
239860985.30787104,-0.6865839267193478,-0.004871692775823114,-5.52349519011841e-07,-4.959175016220826e-07
239861105.31747103,-0.6865847985585601,-0.004871860313593184,-6.879270814108551e-07,-5.782613253504584e-07
239861225.32707098,-0.6865854136772519,-0.004871704918919401,-5.66632401777234e-07,-3.377584748389187e-07
239861345.42306992,-0.6865859474536059,-0.004872190532254014,-3.6331419395185804e-07,-7.382881935212582e-07
239861465.4326709,-0.6865865983399135,-0.004871920845563943,-2.774861618259905e-07,-3.8366483730550155e-07
239861585.44227087,-0.6865875319070868,-0.00487227222302021,-4.7418987003666757e-07,-6.501913044493213e-07
239861705.45186985,-0.6865881778898008,-0.004872208748341711,-3.831608582638424e-07,-5.019512787640679e-07
239861825.5478708,-0.6865891114566952,-0.0048725601261902455,-5.790378474479496e-07,-7.685884492684286e-07
239861945.55747077,-0.6865897469109234,-0.0048722444802954,-4.771862994745746e-07,-3.683484378225882e-07
239862065.56707075,-0.6865905878853739,-0.004872320099880357,-5.807093026444221e-07,-3.594594304330567e-07
239862185.6630707,-0.6865913930919634,-0.004872510011813572,-6.47788560792506e-07,-4.6488750418422625e-07
239862425.68226966,-0.68659253145758,-0.004872588061013129,-3.105305201867026e-07,-3.743468720909804e-07
239862633.3014706,-0.6865940801421805,-0.004872784046737314,-5.8232562794025e-07,-4.2477594176890815e-07
239953199.94144514,-0.68717109338891,-0.0049098327932178085,-2.8327888068613305e-07,-3.8795933491632406e-07
239953320.0374461,-0.6871718621107548,-0.004909472525836999,-2.6512957396196413e-07,-2.944140335865708e-08
239953560.57504505,-0.6871729800529061,-0.004909711001993577,1.927509718502307e-07,-2.718711898047968e-07
239953679.46144602,-0.6871737179236945,-0.004909258811114174,2.3364265844261212e-07,1.7814465056061046e-07
239953799.90304598,-0.6871740159382127,-0.004909925878445532,7.2451433907883e-07,-4.912748286078211e-07
239953920.69024494,-0.6871749438444906,-0.004909819021510316,5.876927355874528e-07,-3.8692676183806757e-07
240040992.27742177,-0.6877168065134551,-0.0048776359267330965,-8.721774613640321e-08,2.318098597259982e-07
240041352.39262268,-0.6877195285005681,-0.0048771319142577275,-6.933040943568614e-07,4.88301695332656e-07
