Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
434593867.1535712,-0.4763003049749426,-0.011955091639563055,-9.033880465914024e-08,3.829500653685508e-07
434594170.1583722,-0.4763012315824168,-0.011955133954185184,-1.0868445965428464e-07,1.3066948417565782e-07
434594221.2207712,-0.47630139175401826,-0.011954994135474545,-1.1585428605354053e-07,2.3513032529343114e-07
434594246.1903722,-0.47630155939618013,-0.011955111291591833,-2.0868450995026322e-07,1.0068686600271659e-07
434594272.1967712,-0.4763017823051788,-0.01195491605956273,-3.5367953132858787e-07,2.7791564310639116e-07
434594297.16637224,-0.4763017480912429,-0.011955183936356615,-2.446619824514329e-07,-7.244836373182517e-09
434594400.1551712,-0.4763020645192905,-0.011954973374685237,-2.5260073682753514e-07,1.3204813672888782e-07
434594426.1615712,-0.4763021248469878,-0.011954872117211931,-2.3504074708746714e-07,2.15313930554753e-07
434594451.2175712,-0.47630203090659223,-0.011954965567607301,-6.606327890290586e-08,1.0453122093433131e-07
434594477.2239712,-0.4763021012944233,-0.011954969565981794,-5.857218965399369e-08,8.2545036533474e-08
434594502.1935722,-0.4763022491476927,-0.011954896871240888,-1.316555526265084e-07,1.3797094862780246e-07
434594528.1999722,-0.4763023450764372,-0.01195492738574431,-1.4971415163156365e-07,8.947251352829644e-08
434594553.1695712,-0.47630243700004865,-0.011955125757521706,-1.668762987794281e-07,-1.26164360108455e-07
434594579.1759712,-0.4763024419378429,-0.01195470287719595,-9.395274519485852e-08,2.7873592796552604e-07
434594630.1519712,-0.47630281899655136,-0.011954827505982113,-3.1840591790954775e-07,1.188696630901459e-07
434594656.1583722,-0.4763027365602675,-0.011954594286852738,-1.5812161346939746e-07,3.3411466427921144e-07
434594681.2143722,-0.4763028199292331,-0.011954572482928489,-1.6649177625449596e-07,3.38603218724004e-07
434594732.1903712,-0.4763029084489661,-0.011954663028119532,-1.0244070064446831e-07,2.128359666356272e-07
434594758.1967712,-0.4763028735721996,-0.011954889583273015,1.0266333116959458e-08,-3.1685425566294056e-08
434594784.2031722,-0.4763033291190008,-0.011954583714377012,-3.6745473669386186e-07,2.5621925187936656e-07
434594809.1727712,-0.4763029690180973,-0.011954681213033934,6.736492874637179e-08,1.4147446443339706e-07
434594835.1791722,-0.4763033735160487,-0.011955055104443262,-2.5931620573071967e-07,-2.503771908517194e-07
434594860.14877224,-0.47630329216391887,-0.011954785086193702,-1.032538812228978e-07,2.398749350193685e-09
434594886.1551712,-0.476303599767473,-0.011954650693593817,-3.330495620956775e-07,1.1883509342010268e-07
434594911.2111722,-0.47630351606712323,-0.011954651836689548,-1.7438913163525527e-07,1.0039387941807032e-07
434594937.2175722,-0.47630358910604426,-0.011954821121610055,-1.6962915261320433e-07,-8.684328655673978e-08
434594962.1871712,-0.4763036853047161,-0.011954555291455978,-1.911348549987757e-07,1.6175225511609603e-07
434595014.1999722,-0.47630394330342707,-0.01195466873381307,-2.9355832470434606e-07,1.2415504345095196e-08
434595039.16957223,-0.47630399564935133,-0.011954487403845002,-2.71224329384534e-07,1.7651670577642498e-07
434595065.1759712,-0.4763037903893779,-0.011954530297829178,1.1811943811945724e-08,1.1568059870258052e-07
434595090.1455722,-0.4763040781141535,-0.011954304835933084,-2.0124158062184705e-07,3.239176183823106e-07
434595116.15197223,-0.47630398326956425,-0.011954237522282404,-2.8629731585461116e-08,3.732932055827698e-07
434595141.2079722,-0.47630418178329126,-0.011954295980612532,-1.5222256405378332e-07,2.9755432091188583e-07
434595167.2143722,-0.47630424542486255,-0.011954401331323177,-1.3810595789198743e-07,1.7426963018832287e-07
434595244.1967712,-0.4763043936095374,-0.01195434929746094,-5.61432855761268e-08,1.7322876980779833e-07
434595269.16637224,-0.4763046785032764,-0.011954156112195581,-2.663964052684875e-07,3.4920294439237665e-07
434595295.1727722,-0.4763046021833397,-0.011954513011659016,-1.1234115421254742e-07,-2.5620196250977778e-08
434595320.14237124,-0.47630481129714025,-0.011954084036500294,-2.4682311511314836e-07,3.8614783319339263e-07
434595346.1487712,-0.4763047001289725,-0.01195425170404243,-5.792878243759958e-08,2.005607465434961e-07
434595371.2047712,-0.47630504384493405,-0.011954072181215055,-3.2676349365212687e-07,3.6282089663046413e-07
434595397.2111712,-0.4763050416766347,-0.011954145779442312,-2.4687821792435116e-07,2.713072806449779e-07
434595446.1999722,-0.47630521190839203,-0.011954111216707777,-2.7072561825658426e-07,2.721281914010165e-07
434595492.1647712,-0.47630541126488163,-0.011954013433595671,-3.3274899424728943e-07,3.382591845808164e-07
434595537.1791712,-0.4763054995432037,-0.011953984536454305,-2.8654805844796627e-07,3.361651412167599e-07
434595628.1583712,-0.4763058090450563,-0.011954072890445151,-3.2429532886846246e-07,1.8519410548839543e-07
434595674.2095722,-0.47630593900786083,-0.011954033091374642,-3.1672545619532144e-07,1.933081955809296e-07
434595719.2239722,-0.4763058745235255,-0.011954083982132966,-1.1781927627962929e-07,1.1145238562257354e-07
434595765.1887722,-0.47630605773642715,-0.011954023617126502,-1.637869850856788e-07,1.402052931479686e-07
434595811.1535722,-0.47630613586466575,-0.011953988245702025,-1.0468495220683494e-07,1.4397143856433037e-07
434595856.1679722,-0.47630652647712035,-0.011954227175652856,-3.60919097996959e-07,-1.259036669278707e-07
434595902.21917224,-0.4763064664194421,-0.011954032088392923,-1.6340290126537482e-07,3.753250481068615e-08
