Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-106943437.75301701,-1.1207847608492485,0.00835149411453942,2.964522398674063e-07,-2.423724340672173e-08
-106943287.41701604,-1.1207857564491395,0.008350990632548745,8.441464882658067e-08,-4.159686770519033e-07
115011235.83076096,-0.8516520555133172,-9.755385578277465e-05,-9.57327891404347e-08,-2.5143980028263986e-07
115011596.11876088,-0.8516540169946103,-9.70944810437836e-05,1.486786934679074e-07,3.1583587489436506e-07
115014601.97475925,-0.8516726145867155,-9.8034993145796e-05,-4.0382021504470345e-08,2.2435514808715742e-07
179204718.198537,-0.7785527863873539,-0.002462980883656462,7.624873776812535e-07,-1.6833888924960502e-07
179207768.98253655,-0.778566064299628,-0.0024608076593816432,-1.5271437792119258e-07,2.5074027928820644e-07
179208068.7905375,-0.7785667596281466,-0.002460694364529439,3.6086110999367094e-07,1.9443790878238831e-07
179208429.07853645,-0.7785686885249792,-0.0024605552279621545,-1.1672616651026146e-07,1.3046419680478802e-07
179208489.55853644,-0.7785690504975048,-0.0024605449026850923,-2.3523124148550068e-07,1.0676992313494657e-07
179208669.2705374,-0.7785692170243744,-0.0024601382742255543,3.2141945405239625e-07,4.12441305530295e-07
179209148.79053634,-0.7785715176337517,-0.0024604932206137397,-5.1534353562310287e-08,-2.1092630523742925e-07
179209209.27053732,-0.778571493585475,-0.002459942492193002,2.154364050488411e-07,3.060473871543609e-07
179209268.88653633,-0.7785712363388774,-0.002459818985873612,7.120899769841316e-07,3.963033531851831e-07
179209388.9825363,-0.7785717222155726,-0.0024599733547289843,7.083604990354431e-07,1.750189502652301e-07
179209579.06253627,-0.7785725603248201,-0.0024596129922400066,6.329884267852748e-07,4.296561038675574e-07
179210179.54253718,-0.7785755465225521,-0.002459350241441009,5.3321732251809806e-08,3.599136801329776e-07
179210888.88653708,-0.7785784754873947,-0.0024589022056293076,-3.879497745273852e-08,4.181822253722378e-07
209180772.21004492,-0.7310192067889185,-0.0036161573442943366,4.074466229964102e-07,-6.765630737996277e-07
209181097.16044584,-0.7310209467494868,-0.003615391338082439,1.8315870831120407e-07,-5.110953939886295e-08
209181335.1924448,-0.7310219693070947,-0.0036153666304533177,2.705949859738155e-07,-1.2900173158294712e-07
209182356.18124557,-0.7310267409567994,-0.0036150985760973323,2.574018395096189e-07,-2.9754569798182487e-07
209182681.21804446,-0.731028311631306,-0.0036149477155386603,2.0067384354227613e-07,-2.8447458360865777e-07
209183151.14764535,-0.7310303567455857,-0.0036148983049160218,3.4355240363659334e-07,-4.332295986471564e-07
209183606.21644425,-0.7310323641668329,-0.0036145044290611405,4.539678412074366e-07,-2.3005817356919547e-07
209183965.20844418,-0.7310341128626848,-0.0036144488982304108,3.752890344044246e-07,-3.241287589834073e-07
209184205.14124513,-0.7310349942368312,-0.003614215065535843,6.097258939963268e-07,-1.898645829567086e-07
209184446.19724405,-0.7310364833533453,-0.003614039611541804,2.413584310190231e-07,-1.1410513264939123e-07
209184685.179644,-0.7310376094004295,-0.003613879571046285,2.261326838004507e-07,-5.2562528750962206e-08
209184976.17484394,-0.7310388099786203,-0.0036139501957426433,3.777460031439972e-07,-2.426629126749645e-07
209185275.20524386,-0.7310401868718972,-0.0036131996120229103,3.899255264228074e-07,3.8567649260920836e-07
209185516.17484382,-0.7310417662784126,-0.003613759226283153,-7.045807215444455e-08,-2.720519877152938e-07
209186175.14764464,-0.7310445892750229,-0.0036136113305886225,1.6510572076189334e-07,-3.906441907114769e-07
209186366.17804462,-0.7310451742313865,-0.0036133713770262563,4.6635123973626236e-07,-2.2743823150685183e-07
209186605.16044456,-0.7310465002324232,-0.0036131467325858533,2.487148952345919e-07,-9.848306094500242e-08
209186905.1412445,-0.7310478113273637,-0.0036128759556520135,3.2842424768642076e-07,5.269342335080876e-08
209187265.1700434,-0.7310495082766957,-0.003612888101143342,2.99989996954686e-07,-1.0223221856911491e-07
209188825.208444,-0.7310567617803105,-0.0036123276755006878,2.672568357731109e-07,-1.506558633462482e-07
209189065.14124295,-0.7310580070747721,-0.0036125367059325606,1.3115557373488684e-07,-4.5187561295437564e-07
209189365.2084429,-0.7310592217061429,-0.003612195202605438,3.031879524106884e-07,-2.2510990634744266e-07
209189486.16844288,-0.7310599399657632,-0.0036119121808680784,1.4373864332117847e-07,1.1836352246420712e-08
209189785.1988438,-0.7310611405420328,-0.0036119828132726278,3.2420406070876595e-07,-1.7226285470121894e-07
209190085.1796427,-0.7310625033823291,-0.003611644373547483,3.4619117417200584e-07,5.2981577526676343e-08
209190326.1492427,-0.7310640819332356,-0.0036117457297750745,-1.2039426178223067e-07,-1.3883978455938792e-07
209191285.18924344,-0.7310682537114213,-0.0036116715497849336,1.2936140147967734e-07,-4.205513353225561e-07
209191585.1700424,-0.7310689131976487,-0.0036116622656692608,8.515582928803056e-07,-5.21202614215191e-07
209191886.1876423,-0.7310714091122367,-0.003610957732004848,-2.585535722188226e-07,7.369019957691875e-08
209192485.19884315,-0.7310741066799293,-0.0036111051311249935,-2.0042207315995597e-07,-2.898533769018011e-07
209192787.1668431,-0.7310753809346517,-0.003610948165906375,-8.651563454531441e-08,-2.40808478297206e-07
209193085.16044304,-0.7310766034436591,-0.0036108588692801906,6.018843756727676e-08,-2.57319447686654e-07
209193265.21804297,-0.7310770033522979,-0.003610729659263911,4.872745108519538e-07,-1.9170585842040455e-07
209193385.14124295,-0.7310779750099897,-0.003611230904300455,6.627901949496362e-08,-7.351665172955837e-07
209193686.1588429,-0.731079233510093,-0.0036105695393196737,1.894975807381627e-07,-1.792656002187927e-07
209265392.19722617,-0.731399839172903,-0.0036118492144422074,1.7443904765102047e-08,1.1690569571426446e-07
209265630.1428261,-0.7314010914613367,-0.0036118523007295576,-1.2556987638578931e-07,1.9450730805907826e-07
209266175.154025,-0.7314035600035247,-0.003612430539041824,-5.140323644514666e-08,-1.9759794168874162e-07
209266415.1732259,-0.7314046123372748,-0.0036124982126668546,1.689759798750856e-08,-1.8271712254975744e-07
209267076.21962577,-0.7314075317227499,-0.0036124213518116265,1.8651900679511613e-07,1.2335533260089335e-07
209267555.22122467,-0.7314097924511355,-0.0036128119796970705,1.6648615464021077e-07,-9.948830146169763e-08
209267796.19082558,-0.7314111262913986,-0.0036128396754305458,-3.9395867568181586e-08,-4.223766966173978e-08
209268096.17162454,-0.7314121715797601,-0.003613113417557355,3.2018364592989457e-07,-2.097250072813535e-07
209268396.15242544,-0.7314135940173422,-0.003612959653912973,3.0336374523542986e-07,5.085547447568339e-08
209268696.21962538,-0.7314150988202054,-0.003613288763680923,2.0532491673552755e-07,-1.7084323387190833e-07
209268996.2004243,-0.7314166992651975,-0.0036132303476833372,1.1971511670871848e-08,-4.482553316378923e-09
209269295.14442524,-0.7314180558630183,-0.0036135563811507893,5.832207783385002e-08,-2.2238153629065144e-07
209269596.16202417,-0.7314193151940398,-0.0036133534077788785,2.123882679727629e-07,9.004558657174297e-08
209269896.1428241,-0.7314210050481413,-0.0036135718004724807,-6.82295497878016e-08,-1.870061003749965e-08
209270195.17322502,-0.7314223467434987,-0.0036138517011364275,-4.45959169592669e-09,-1.8873451229596203e-07
209270502.15242496,-0.7314237252867616,-0.00361401780507105,6.053357881619092e-08,-2.414599234597768e-07
209270795.22122392,-0.731425059125113,-0.0036140455061261126,1.0548293416512422e-07,-1.603594027735182e-07
209271096.15242484,-0.7314264298115868,-0.0036139594104839497,1.5123937746608362e-07,3.802846179883773e-08
209271455.14442375,-0.7314279048086052,-0.0036141962567766356,3.6683873338994033e-07,-6.409985167047522e-08
