Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
334290984.1639702,-0.5664820676284811,-0.008431983176475855,-3.03511832888681e-07,4.341304646986177e-07
334291128.19277006,-0.5664830438346488,-0.008432503159755586,-4.352665324836025e-07,2.554987492929539e-08
334291483.21036994,-0.5664850706685098,-0.00843286007181561,-3.793632583626305e-07,-5.7238083231436754e-08
334291603.219971,-0.566485893282833,-0.008432858032359108,-4.97535226351431e-07,3.7313420181775414e-08
334291722.1927709,-0.5664866260854298,-0.008433002512267168,-5.317846510921598e-07,-1.552979497776441e-08
334291902.1639699,-0.5664873022320442,-0.00843309546914786,-1.5085330640207673e-07,2.9988826729179796e-08
334292022.1735709,-0.5664881415943969,-0.008433221544390357,-2.850811828825073e-07,-3.843758034083322e-09
334292354.20876974,-0.5664901098084905,-0.008433130058794999,-3.013517297922874e-07,3.424504477576168e-07
334292422.20557076,-0.5664908846357808,-0.008433801311878453,-6.762607056565173e-07,-2.76693938117481e-07
334292509.21037066,-0.5664911861152272,-0.008433902512622727,-4.659370459458856e-07,-3.1125561479432295e-07
334292658.1639697,-0.5664920104595503,-0.008433987620975997,-4.13831060641634e-07,-2.823712727806349e-07
334292719.1623696,-0.5664923402281961,-0.00843406296171184,-3.8459670692603254e-07,-3.110649690590134e-07
334292897.14636964,-0.5664934576467904,-0.008434143916684086,-4.5421715022531117e-07,-2.5602538591094903e-07
334293108.22157055,-0.5664946183411923,-0.008434198682154503,-3.7176233524949254e-07,-1.4973276057927976e-07
334293287.1559705,-0.566495682626475,-0.00843448500247432,-3.8173769678628844e-07,-2.9970736434466183e-07
334293488.20877045,-0.5664969065890558,-0.008434526904939687,-4.2056842053384e-07,-1.8861579582571397e-07
334293666.19277036,-0.5664980940427528,-0.008434737097385838,-5.584367692712533e-07,-2.635503486472096e-07
334293847.2007703,-0.5664990882147146,-0.008434790938842045,-4.847741984503884e-07,-1.8001077940928145e-07
334294027.17196923,-0.5665001340519228,-0.0084349032966198,-4.684800058996075e-07,-1.5594934368347302e-07
334294207.1431692,-0.5665012764679963,-0.00843501123565049,-5.483555071128521e-07,-1.2764355161558327e-07
334294387.2007691,-0.5665022890098543,-0.008435135798080829,-4.974402391111354e-07,-1.1607024593719706e-07
334294566.22157013,-0.5665033382147969,-0.00843529855789015,-4.889115449158155e-07,-1.436512073651336e-07
334294747.1431691,-0.566504345766008,-0.008435430113579912,-4.2709613568003846e-07,-1.3876796164415117e-07
334294931.17517,-0.566505478247022,-0.008435613985290073,-4.714143224671119e-07,-1.8403571882402714e-07
334295107.17196995,-0.5665064491964991,-0.00843578993898612,-4.0132692036287665e-07,-2.2760753496872677e-07
334295287.1431699,-0.5665076066138554,-0.00843591819865499,-4.9381184363817e-07,-2.206679955655405e-07
334295467.20076984,-0.5665086040912639,-0.008435939848850861,-4.2545740241983765e-07,-1.0722817870428836e-07
334295647.17196983,-0.5665095484351245,-0.008436166863837774,-3.0409595086489105e-07,-1.99391885918887e-07
334295827.14316976,-0.5665108157798479,-0.008436327121252241,-5.053536491494981e-07,-2.2497176992500312e-07
334296015.14956975,-0.5665119781562643,-0.008436407091951757,-5.53641002376537e-07,-1.644373883152167e-07
334296188.2087697,-0.5665130907669944,-0.008436742828741635,-6.403746870553562e-07,-3.710070991605474e-07
334296367.1431686,-0.5665140049676268,-0.008436743368611733,-4.935086870272443e-07,-2.3816330381280781e-07
334296558.17356855,-0.5665151974092955,-0.008436946572880891,-5.527526166781982e-07,-2.9915605596377015e-07
334296727.17196846,-0.5665159650805649,-0.008436959513562709,-3.175767651075745e-07,-1.8644929044610292e-07
334296907.1431685,-0.5665172007978897,-0.008437136528806101,-4.849818191487998e-07,-2.298265182956727e-07
334297087.2007684,-0.566518479790966,-0.008437287354852394,-6.947896472597748e-07,-2.471231135368207e-07
334297267.17196935,-0.5665194106925379,-0.00843735406419127,-5.566622269803645e-07,-1.8053950328993096e-07
334297447.14316833,-0.566520489868649,-0.00843751616881406,-5.664558156981414e-07,-2.095233474583985e-07
334297627.20076823,-0.566521569075363,-0.008437719571036941,-5.754159824178373e-07,-2.799129465349409e-07
334297808.2087692,-0.5665226015151273,-0.008437733572406179,-5.316097982932533e-07,-1.603728370085794e-07
334297988.1799682,-0.566523678976158,-0.008437829179838157,-5.386445198762857e-07,-1.2337565081198265e-07
334298171.1751691,-0.566524766479359,-0.008437993396683724,-5.373858806834164e-07,-1.5293528988179206e-07
334298347.17196906,-0.566525795643076,-0.00843808088953882,-5.190966203549863e-07,-1.1108742284555995e-07
334298529.216768,-0.5665267799542822,-0.00843831391212531,-4.1962335139977824e-07,-2.1049628414100685e-07
