Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
179204605.18733704,-0.7785527001103456,-0.002462819789982625,3.8873265650885003e-07,5.867096043808001e-08
179204718.198537,-0.7785539593734967,-0.0024627352642993803,-4.1049876509102745e-07,7.728046783192152e-08
179205319.19693792,-0.7785558439755571,-0.002462594580125054,1.4893192445963876e-07,-1.315023520735703e-07
179205438.16973788,-0.7785566030525126,-0.002462309367098098,-1.2681780214851557e-07,8.47489774187353e-08
179207769.15533656,-0.7785661106641432,-0.0024611941960850426,-1.9838180087550228e-07,-1.3589432535385595e-07
179208069.2225365,-0.7785675052475431,-0.002461240397938428,-3.830171513286018e-07,-3.518394965850921e-07
179208199.16813746,-0.7785681776524259,-0.0024609819595830104,-5.317917394220828e-07,-1.6674553350495142e-07
179208308.20493647,-0.7785685974963212,-0.0024615372860628073,-5.124206396978082e-07,-7.835379543055278e-07
179208428.21453744,-0.7785688629045899,-0.0024606941822769837,-2.945842089152606e-07,-8.003966460966294e-09
179208489.21293744,-0.7785693029344569,-0.0024605582631517264,-4.890593030548729e-07,9.360379104933134e-08
179208548.22413743,-0.778569588340868,-0.002460820221565389,-5.369546266509317e-07,-2.0152697636621059e-07
179208608.1857374,-0.7785695097662699,-0.002460849566311419,-2.170881314711437e-07,-2.6455689549134687e-07
179208669.1841374,-0.778569383426906,-0.0024605587709157083,1.546693376708319e-07,-8.006894300794515e-09
179208728.1953374,-0.7785698284478028,-0.00246095917026969,-5.29728559905962e-08,-4.415146034508939e-07
179208908.16653737,-0.7785708175258352,-0.0024605673975661626,-3.1836694491804707e-07,-1.505845770213149e-07
179209028.17613736,-0.7785710840898522,-0.0024602009073384163,-1.0258488503112062e-07,1.4877091562056494e-07
179209089.17453635,-0.7785713975652317,-0.0024603882318038946,-1.709631143320678e-07,-7.264287366602618e-08
179209148.18573636,-0.7785716687537685,-0.002460816954856268,-2.0508382803097192e-07,-5.343228863113891e-07
179209208.14733732,-0.778571720965808,-0.0024603948952660348,-1.6454924867126408e-08,-1.4572901849358236e-07
179209269.1457363,-0.7785722361915196,-0.0024601241183470138,-2.867218634738933e-07,9.102636116392615e-08
179209389.1553363,-0.7785724731608615,-0.002460725784046034,-4.1891184410225435e-08,-5.775065833745104e-07
179209458.1889363,-0.7785730777398193,-0.0024600113270607667,-3.6940501346727217e-07,9.852678227320957e-08
179209579.14893627,-0.7785732410993444,-0.0024599963868305414,-4.7439503214619094e-08,4.621350795531304e-08
179209699.15853727,-0.7785739484517923,-0.002460158457710079,-2.734639837909114e-07,-1.824914607176549e-07
179209818.21773723,-0.7785744909535722,-0.002460188779135538,-3.386309371800067e-07,-2.788292405597227e-07
179209938.14093724,-0.778575029956127,-0.002459829472009094,-3.9701768106414903e-07,1.4073586269893607e-08
