Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
-107124473.83296905,-1.1199990923593233,0.00844349477449436,-3.732858910865389e-09,-8.460210253885547e-08
-107124377.84256808,-1.1199997127699683,0.008443512913659202,-2.2474490379842393e-07,-8.496059687897184e-08
-107124235.80096911,-1.1199996900041926,0.00844400195934417,3.889132873524659e-07,3.7683269174873524e-07
-107124102.83136816,-1.1200007748558347,0.008443762206791524,-1.4291251382303471e-07,1.1169788213978571e-07
-107123710.83456926,-1.120002631263746,0.008444210379785572,-3.69712799486166e-07,4.857761891352563e-07
-107123537.7753693,-1.1200031716160455,0.008443917446500466,-1.9097103809428972e-07,1.6048143652337699e-07
-107044434.77379042,-1.1203198983297415,0.008427506622582386,1.627627641553886e-07,1.1210266364497512e-08
-107044077.85539052,-1.1203220230938027,0.00842726507432294,-4.604393881724178e-07,-3.7378953890443434e-08
-107043834.81218958,-1.1203225986647418,0.008427521362351543,-1.2972548368850312e-08,3.506556814480283e-07
-107043477.80739067,-1.120324263808627,0.008427144004240298,-1.7458447820750678e-07,1.6733461840993946e-07
-107043232.77699076,-1.1203253665321629,0.008426808824458665,-2.4481620197747134e-07,-3.431349860846811e-08
-107042847.77858986,-1.1203268260747203,0.008426787438304344,-8.120230132746542e-08,1.546905516614655e-07
-106943507.823416,-1.1207844303959638,0.00835177731197842,2.617423839890165e-07,2.0684243459689888e-07
-106943437.83941701,-1.1207849800554506,0.00835069670069769,7.679575575458841e-08,-8.21715336185927e-07
-106943287.84901705,-1.120785885610114,0.008351409555168882,-4.699815114861394e-08,2.6329529615592984e-09
-106943132.84741607,-1.1207863230699475,0.008351294463280824,3.235702854542666e-07,2.663005772493565e-09
115010831.21956004,-0.8516490274119807,-9.680526873914043e-05,4.5536725712391757e-07,3.743826786154332e-07
115011236.17636095,-0.8516522957609717,-9.738439912506716e-05,-3.3386458042627964e-07,-8.187900254521803e-08
115011596.20515987,-0.8516542570945755,-9.717716656149929e-05,-9.089226260527994e-08,2.3317607283050582e-07
115011776.17635985,-0.851655471499909,-9.662864366232155e-05,-2.0333528261140543e-07,8.350999691880126e-07
115012076.15716077,-0.8516572056039552,-9.714177074194452e-05,-1.0056154264859174e-07,4.1024875951223413e-07
115014602.14756025,-0.8516724278926139,-9.788663375514137e-05,1.4737043929624605e-07,3.727607588806172e-07
179204605.18733704,-0.7785526481737257,-0.002462769868683723,4.4066927640251663e-07,1.0859225934006095e-07
179204718.198537,-0.7785531340515752,-0.0024629242348077483,4.1482315638052825e-07,-1.1169004053611722e-07
179205319.19693792,-0.7785557059145911,-0.002462738708987716,2.8699289045253096e-07,-2.7563121473552984e-07
179205438.16973788,-0.7785565105347341,-0.0024620334954724554,-3.4300023599165286e-08,3.606206030615927e-07
179207769.15533656,-0.7785658597185765,-0.00246132752562921,5.256376578444133e-08,-2.6922386952123525e-07
179208069.2225365,-0.7785674126370894,-0.002461862679941332,-2.9040669757840476e-07,-9.741214994892292e-07
179208199.16813746,-0.7785674552592912,-0.0024612913577123237,1.906013953334451e-07,-4.7614366281830897e-07
179208428.21453744,-0.7785686839571406,-0.0024610133125886904,-1.1563675961223652e-07,-3.2713427816763105e-07
179208489.21293744,-0.7785688839706949,-0.0024609515311498774,-7.009554103820648e-08,-2.9966420710169153e-07
179208669.1841374,-0.7785695792991111,-0.002460838236892517,-4.120286745123991e-08,-2.874728711093136e-07
179208728.1953374,-0.7785696459702992,-0.0024608176430962773,1.295046475613404e-07,-2.999874300383884e-07
179208908.16653737,-0.778570531874138,-0.0024608484490232477,-3.271524773307277e-08,-4.3163603410641474e-07
179209028.17613736,-0.7785708271754007,-0.0024608587177181907,1.5432956645966556e-07,-5.090394641538327e-07
179209089.17453635,-0.7785711699695345,-0.0024605498675191644,5.6632582956517297e-08,-2.3427858893577264e-07
179209148.18573636,-0.7785715894768696,-0.0024614351179780623,-1.2580692909658353e-07,-1.1524860081056458e-06
179209208.14733732,-0.7785717605720629,-0.002460570405050425,-5.6061179809496764e-08,-3.212388028838928e-07
179209269.1457363,-0.7785710223188976,-0.0024605447331526014,9.271507585006944e-07,-3.2958844442369795e-07
179209328.15693632,-0.7785723368663228,-0.0024605446207839688,-1.5046287327180607e-07,-3.6236728443665017e-07
179209389.1553363,-0.7785727180169429,-0.0024608328210677178,-2.867472658207859e-07,-6.845436050584644e-07
179209458.1889363,-0.7785727700782984,-0.0024600556175612496,-6.174349254095546e-08,5.4236281790340235e-08
179209579.14893627,-0.7785722936399736,-0.002459695367195853,9.000198676334392e-07,3.4723314264357985e-07
179209699.15853727,-0.7785738989203085,-0.002460163608924268,-2.2393249998753362e-07,-1.8764267490636519e-07
179209818.21773723,-0.7785739561531583,-0.002460348896564321,1.9616947677381091e-07,-4.389466693424833e-07
179209938.14093724,-0.7785748514951604,-0.0024601738223038612,-2.185567143930811e-07,-3.302767084974699e-07
179210059.1873362,-0.7785758990565314,-0.0024595457982620494,-7.811874811469721e-07,2.308143221808022e-07
179210179.19693616,-0.7785751276183884,-0.0024598855662111203,4.7084216614479146e-07,-1.752203905220663e-07
179210298.16973716,-0.7785766799333121,-0.0024590001491517385,-6.052159587932593e-07,6.445942249380839e-07
179210769.2225361,-0.7785774994664116,-0.002459761838471765,4.5911597601477894e-07,-3.7593027215785876e-07
179210829.18413708,-0.7785784042470777,-0.002459380883844091,-2.060685994065281e-07,-2.7818660568255243e-08
179210888.1953371,-0.7785782852127984,-0.002459468393010104,1.487185072868158e-07,-1.4762697171741973e-07
179210949.19373706,-0.7785790806982643,-0.0024596793542595126,-4.031227851530872e-07,-3.9195067969965275e-07
179211018.14093605,-0.7785789854107642,-0.002459607304002035,-3.24997926348658e-08,-3.57580504831579e-07
179211138.15053603,-0.7785795711435542,-0.0024593756396720195,-1.3913107110852252e-07,-1.9142626772215496e-07
179211488.156937,-0.7785806473218218,-0.002458840261018428,1.809080980574862e-07,1.5344789346593765e-07
209180772.21004492,-0.7310195023517252,-0.0036157051974148695,1.1188381632276645e-07,-2.2441619433252735e-07
209181097.16044584,-0.7310212650998276,-0.003615237524796389,-1.3519163244435362e-07,1.0270374665131976e-07
209181335.1924448,-0.7310223394023823,-0.0036151451483077274,-9.950030155359002e-08,9.248041400733431e-08
209182356.18124557,-0.7310268891658924,-0.003615101637077983,1.0919274651133293e-07,-3.0060667863263113e-07
209182681.21804446,-0.7310283633763167,-0.003614880046676904,1.489288328215821e-07,-2.168057218524498e-07
209183151.14764535,-0.7310306601897625,-0.0036146983595686014,4.010822685085458e-08,-2.3328425122681393e-07
