Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
24664003.783339,-0.9811408135302093,0.0032823549170624797,-4.366868940897106e-07,-3.472269613394134e-07
24665309.278692,-0.9811410152312666,0.0032821042840984766,1.121601135967154e-06,-5.858103917493612e-07
24666860.184623,-0.9811442696372126,0.00328209007796094,-5.189317875409216e-08,-6.094978345825251e-07
24667608.68513,-0.9811453384386681,0.003282347447132947,-1.208628802595868e-07,-3.6576211072348805e-07
52065033.185323,-0.930842909306997,0.0023141532837623407,3.498466761064911e-06,1.8601473344508589e-06
52065276.781467,-0.930846715512941,0.0023134853630540028,1.1165475486407672e-06,1.2322743170541973e-06
52065407.781158,-0.9308481117202146,0.002313596161390278,4.862619331635898e-07,1.3643424909984617e-06
52065568.182743,-0.9308494229577718,0.002312933818813777,1.1282706569026857e-07,7.277901384536434e-07
52066309.581135,-0.930853405199795,0.0023124115837694086,4.648207885260547e-07,3.2115325246427975e-07
52066565.08323,-0.9308547528384643,0.0023127101241476626,6.106651777582073e-07,6.581645749263385e-07
52066869.185302,-0.9308565800540362,0.0023125317969105107,5.608647215549212e-07,5.247187934375418e-07
52067231.486414,-0.9308597731256931,0.0023123061784907253,-5.148633532847668e-07,3.512902676141953e-07
52067575.185616,-0.9308615517728447,0.002312315593467245,-2.851377920443099e-07,4.0893492216304353e-07
52067902.581145,-0.930863287928481,0.00231221386102516,-1.0844574327428802e-07,3.519912234587787e-07
52068438.580853,-0.9308670455552503,0.002311733659069351,-7.350229594971225e-07,-5.72970258877481e-08
52068854.28578,-0.9308692794742771,0.002312461767450483,-5.411509630404154e-07,7.237619780195263e-07
52070290.478432,-0.9308777781270697,0.0023121062706899474,-6.564983260348711e-07,5.376237338060308e-07
52070544.287074,-0.9308793928645887,0.0023124738926628935,-7.904878659426018e-07,9.330132172652265e-07
52071345.681641,-0.9308842370971598,0.002311924211982026,-9.610095093037785e-07,4.668108866301597e-07
82122752.582753,-0.8839539066110921,0.0011952323386768624,-3.5539245113458406e-07,-9.606575595362717e-08
82123076.781477,-0.8839557987316479,0.0011954003522733495,-2.9876661689076656e-07,-1.3159158877753402e-07
82123163.682595,-0.8839563327149987,0.0011955470933495817,-3.1051567339623887e-07,-3.954592541085232e-08
82123344.984367,-0.8839573853204679,0.0011956352392720208,-2.737564765986633e-07,-6.569683386041004e-08
82123463.585655,-0.8839581041862851,0.0011956316718975124,-2.8012531350096737e-07,-1.44168871729633e-07
82123560.284507,-0.8839585971150246,0.0011956665733048257,-1.922111200203247e-07,-1.7041852818462308e-07
82123640.083551,-0.8839592902875285,0.0011957565023247385,-4.061043280545462e-07,-1.3100689876476522e-07
82123718.482925,-0.8839595315859887,0.001195923369248748,-1.7657538542437123e-07,-1.3818380366825353e-08
82123815.786602,-0.8839601401342576,0.001195537535312106,-2.0082936424969944e-07,-4.6137441244331785e-07
82123920.779876,-0.8839608511831195,0.001196084884166696,-2.81487667841418e-07,1.9294231904439657e-08
82124029.479709,-0.8839617035446962,0.0011961180009796963,-4.812907145046452e-07,-1.6710968097580908e-08
82124123.37922,-0.8839619423282564,0.0011960327834389204,-1.5643803963349967e-07,-1.617108184206583e-07
82124236.88293,-0.8839627022486755,0.0011961410541695653,-2.3513608493619387e-07,-1.2579234662658638e-07
82124477.679732,-0.8839640885936491,0.0011963209101440427,-1.76601429813239e-07,-9.975147102921599e-08
82124596.185949,-0.8839648767223934,0.001196587767862682,-2.538085089875963e-07,9.124778321107328e-08
82124720.48099,-0.8839656212810348,0.001196490701951774,-2.528358592490676e-07,-8.549495039201528e-08
82124835.583082,-0.8839663708702943,0.0011968978043808308,-3.1214212969921107e-07,2.477208296434649e-07
82124942.883244,-0.8839669255161475,0.0011964468782957156,-2.233887216318564e-07,-2.721724967230145e-07
82125044.982107,-0.8839675801490752,0.0011966770505134052,-2.6589595580883696e-07,-1.0770380787315098e-07
82125151.884846,-0.8839681783651194,0.0011965900475874641,-2.2327474469285846e-07,-2.6358453771913905e-07
82125259.979895,-0.8839689125925284,0.0011967918134963094,-3.096114374878667e-07,-1.3155064370294622e-07
82125350.380209,-0.8839694055211262,0.00119682671312192,-2.6077949322189653e-07,-1.5503445173546508e-07
82125576.186588,-0.883970658370103,0.001196969881374296,-1.606853233804273e-07,-1.5796223329670941e-07
82213416.984366,-0.884443270873871,0.0012584776396569117,-9.418808973871151e-07,3.239605732494044e-07
82217433.979556,-0.8844625796005791,0.0012603113619633814,-4.7527455759865944e-07,-2.8548035444788365e-07
82223310.08677,-0.8844916132307488,0.0012641117510550606,-8.713234472823572e-07,4.4066728318876286e-08
82223416.384685,-0.884491880228618,0.001264185073653965,-6.238692276117064e-07,5.597841353562755e-08
82223543.781459,-0.8844924116678275,0.0012640796353871736,-5.389237853758999e-07,-1.2298783007400234e-07
82223641.983703,-0.8844931048396545,0.0012641694405524774,-7.570974323023449e-07,-8.980669934251749e-08
82223733.680047,-0.8844934924979007,0.0012643261747977087,-7.013320897364395e-07,1.40976310015941e-08
82223810.783391,-0.8844939340670899,0.001264547990152179,-7.701256683478874e-07,1.9152280904830357e-07
82223894.280343,-0.884495728687377,0.0012629794981914738,-2.1611408402844035e-06,-1.4250070182303919e-06
82223990.780523,-0.8844944501109433,0.001264237218691688,-4.1621116364520816e-07,-2.227621814126276e-07
82224182.182422,-0.8844956772785288,0.0012644736679260312,-7.187361451554963e-07,-9.620711128232803e-08
82224280.479696,-0.8844960264212677,0.001264770653536604,-5.931908649836615e-07,1.4441267061934653e-07
82224369.981484,-0.8844961984358134,0.0012646670629399583,-3.3309590075081275e-07,-1.0457471747273364e-08
82224458.783376,-0.8844967478270704,0.0012650190401099235,-4.538550882893233e-07,2.9068163246077396e-07
82224543.982431,-0.8844972407505101,0.0012650538526944853,-5.356290954106058e-07,2.7675681313213754e-07
82224650.280346,-0.8844976232950179,0.0012647064196320817,-4.053334387021934e-07,-1.3143052976678782e-07
82224739.885814,-0.884498449965794,0.0012648328845903751,-7.998075837178931e-07,-5.613378580558194e-08
82225068.482262,-0.8844940672403134,0.0012724276571081114,5.166982182669422e-06,7.351357231178725e-06
82225268.282264,-0.8845006090691864,0.0012650738752668336,-4.123389304444558e-07,-1.1601986796587124e-07
82225350.085804,-0.8845012483299525,0.0012650985975052496,-6.576693916127141e-07,-1.377449648611636e-07
82225760.38211,-0.8845031301542225,0.0012655650985628187,-5.649763786808037e-07,9.634027589361036e-08
82226081.280349,-0.8845049965828247,0.0012658262656646006,-8.886195913548889e-07,1.7637631308394484e-07
82226276.984981,-0.8845063033386208,0.0012660342902788835,-1.2551404564575819e-06,2.7421752274436884e-07
82226373.381481,-0.8845063161769949,0.0012659875396696723,-8.050392221736757e-07,1.7327423496634603e-07
