Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
425863439.1841281,-0.4357439831829854,-0.011653217962044039,9.664395484443311e-07,2.6194230169293564e-07
425949542.18410057,-0.4359459139248383,-0.011599817028547376,-3.243334684710497e-07,1.5442079817108711e-07
426035762.1840731,-0.43609487701809946,-0.011570179910382552,1.957682226882973e-07,1.2805429713356326e-06
426466567.1839361,-0.43739522272350356,-0.011643000860004755,3.0050832516836934e-07,7.237483848274162e-07
426552728.1839088,-0.43758926940439424,-0.011620499330304674,5.348340620381364e-07,3.0083522823375064e-07
426983510.18377274,-0.4391205023501703,-0.01168442534411859,-6.700552390714876e-08,9.36319412701142e-07
427155840.1837183,-0.43963337954041815,-0.01171371584735739,-3.5647749652145677e-07,9.883605319466887e-07
428448172.1833205,-0.4453267976862312,-0.011844769007901376,7.819822051557956e-07,1.4414140551734234e-06
428534349.6832955,-0.4456877864224228,-0.01179306571799789,-2.51017544972143e-07,2.1014015680730774e-06
428792787.18322206,-0.44691091821898277,-0.011916442688033217,5.823389143122526e-07,1.7456706288797308e-06
428965143.1831744,-0.4478676415539513,-0.011873780360151416,2.630858765839683e-07,5.880331508320569e-07
429223648.1831047,-0.44904690637723443,-0.011896420867112031,7.716208123009771e-07,7.926270086198312e-07
429482103.18303716,-0.4505448363402921,-0.011896950296513853,-7.370637669645852e-07,1.5168553848306926e-06
429654410.1829933,-0.45132445519459763,-0.011868009650563267,1.487979138237172e-06,8.564786195420365e-07
429740587.18297166,-0.45178418728476033,-0.01193334764348233,4.7092480159882655e-07,-3.739504619154621e-09
430171358.18286705,-0.4541244742881782,-0.01189768038554086,-3.340105876881161e-07,1.6520676535507206e-06
430257555.1828469,-0.4546037387007125,-0.011965369946617385,-1.294334612989001e-06,-2.0045856601036416e-07
430602148.1827698,-0.45655573582055586,-0.011896951008030445,4.021367345230509e-07,1.537307508856292e-06
431377618.1826201,-0.46088542145212463,-0.012046508221915093,-1.1471208926638887e-06,1.5147945812300084e-06
432325288.18248343,-0.4659287959506739,-0.012044660178455416,7.609542695963256e-08,1.1313577221588877e-06
432411515.1824733,-0.4664566623268623,-0.01206250879908404,4.6923403057563817e-07,1.1914269654831472e-06
432497673.1824635,-0.4669404094834909,-0.012017499562069855,-1.0642702480412325e-07,1.7022133034453463e-06
432583832.1824541,-0.4673387336291855,-0.01195747750942107,1.1671631170440122e-06,1.5797213355605438e-06
432842209.18242836,-0.46857737683489414,-0.012049365003058542,-3.404161910136594e-07,4.521140462777212e-06
433014585.1824134,-0.4695343767849156,-0.012014401794309456,-2.87371915819179e-07,-1.0718243525706384e-07
433186863.1824004,-0.47023702466025374,-0.01194831991715436,8.369550021369854e-07,1.080098133187865e-06
433273022.1823947,-0.47062114067336197,-0.011999949870471142,-2.459176505209548e-07,1.1456458765060629e-06
433359191.18238944,-0.47107693949167384,-0.012055827128903195,5.072531351624221e-07,1.6023631942314875e-06
433445350.1823848,-0.47155254559589527,-0.012059290085909878,6.671800018009932e-08,5.436031794824742e-07
433617677.18237704,-0.4722986677327186,-0.011949800908674525,3.641214771921142e-07,-1.1337246901346743e-07
433703827.18237394,-0.4726060292074443,-0.011948903567590546,-1.6235929972685526e-07,6.863174291608237e-07
433790006.18237144,-0.4729655936053915,-0.01200384182247168,1.2852307385013972e-08,4.6190609385467207e-07
434565491.1823715,-0.476214354208068,-0.011976687750537552,-1.8669236445667536e-07,-5.760636251801732e-07
434823962.1823796,-0.47698996793676646,-0.011999024307631266,4.233383332774565e-07,4.3641547937782466e-07
434910083.1823832,-0.4773486589227794,-0.01204142026234181,-9.543752900742497e-07,-3.275773770277518e-07
435340846.18240714,-0.4786098130548817,-0.01199154850821975,-1.2863603343626906e-07,6.122265513008179e-07
435427047.1824133,-0.4789229946486362,-0.012027264031341982,3.631744776022572e-07,6.59239814222376e-07
435599369.182427,-0.47942727749269515,-0.01193532000162158,5.054896397571618e-07,6.290803420891389e-08
435857853.18245125,-0.4799379938634281,-0.01198096125342925,-1.7286598713028845e-06,1.1233347016314371e-06
436116338.1824802,-0.4805878666974035,-0.011911431342351056,-2.0796795136002189e-07,3.413837456143348e-07
436460947.1825261,-0.48116167485426925,-0.011991554622387943,-4.845802259456633e-08,3.710152018301244e-07
436633312.18255204,-0.4814228138550623,-0.011884982982263004,1.5795791935557801e-07,1.4837552958831685e-06
436719474.1825657,-0.48145297724890407,-0.011860142047340313,3.528050284695716e-07,1.715076167786711e-07
436805637.1825798,-0.48150711946703056,-0.011895621167822735,-1.1130253757540842e-07,8.907949848747237e-07
436977963.18260926,-0.48178481749593005,-0.011968018890429186,1.1505219136842548e-06,1.764803005968596e-06
