Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
466734012.673567,-0.4389863320204541,-0.013057787432060094,1.186266002151104e-06,-5.148858732671735e-07
466734304.446356,-0.4389872332641849,-0.013057870517816112,1.102251382945063e-06,-4.3225299802343575e-07
466735013.01278,-0.4389893672328807,-0.01305823450837062,9.555100443647824e-07,-3.90975353753778e-07
466735271.262395,-0.438990125593205,-0.013058384223230732,9.223658953283476e-07,-3.9199846584014875e-07
466735457.022361,-0.4389906745074382,-0.013058548604298377,8.954180993336891e-07,-4.4910274136882034e-07
466735682.267167,-0.4389912642444245,-0.013058660457185105,9.389543399462852e-07,-4.3051656965428786e-07
466735863.275157,-0.43899187173012055,-0.013058739278710289,8.406582597264567e-07,-4.0423225280798725e-07
466736032.878381,-0.4389923789282864,-0.0130587585653532,8.108022158115347e-07,-3.248066944173261e-07
466736214.404775,-0.4389928461945438,-0.01305894985626088,8.546896479444399e-07,-4.1020181928801136e-07
466736387.204763,-0.4389933795748089,-0.013059016151502578,8.081371389301317e-07,-3.754585583097547e-07
466736555.943981,-0.4389937949210513,-0.01305913409005653,8.684123448121639e-07,-3.9451434295616206e-07
466736782.225594,-0.4389945621565047,-0.01305930636321075,7.39358365087206e-07,-4.338469428329106e-07
466737007.211177,-0.438995257501558,-0.013059334992487945,6.789603629875351e-07,-3.2991601876808385e-07
466737192.452779,-0.43899574206985476,-0.01305939444081521,7.174932638576159e-07,-2.7993753419844336e-07
466737667.220794,-0.4389972139699017,-0.013059638566047894,5.87616217684328e-07,-2.424461246555709e-07
466737814.70557,-0.43899753124796276,-0.013059722145975861,6.876276079093024e-07,-2.3820605668002648e-07
466737968.843177,-0.4389980650723137,-0.013059809106250772,5.901189151225061e-07,-2.3321551796164075e-07
466738149.851167,-0.43899856384562036,-0.013060060940775973,6.039897594289911e-07,-3.768497462176834e-07
466738354.273595,-0.4389992316797339,-0.013060136861875517,5.154628403003514e-07,-3.302900911123646e-07
466738734.606394,-0.43900031840775394,-0.013060261598357456,5.075484484362569e-07,-2.2635251802592682e-07
466734672.855985,-0.43898830268907035,-0.013058048948005174,1.0655940820836207e-06,-4.0046591616091365e-07
466734762.971167,-0.43898862884295636,-0.01305815508512929,9.922138022311344e-07,-4.5501861754317086e-07
466738920.625582,-0.43900093299112475,-0.013060280320218116,4.2108726555634135e-07,-1.3285695422277088e-07
466739104.398394,-0.43900146193865575,-0.013060530704396535,4.1419688429078505e-07,-2.721395846796981e-07
466739243.502367,-0.4390018701819777,-0.013060552450562798,4.013248358081256e-07,-2.0963189593936615e-07
466739376.558374,-0.43900238492653865,-0.013060688595679498,2.6493066140886867e-07,-2.6506017875536914e-07
466739574.15517,-0.43900287348684297,-0.013060699585485195,3.3855246439618014e-07,-1.5595378946402227e-07
466739695.287967,-0.4390032759648259,-0.013060843426155362,2.8089189130220404e-07,-2.2603871767216954e-07
466817857.566404,-0.43926240270473793,-0.01311524217339108,1.486322449673061e-06,-5.432444809289755e-07
466818019.220808,-0.43926309448284373,-0.013115418105795135,1.3847472007388895e-06,-6.057605544344119e-07
466818135.256027,-0.43926338468358667,-0.013115413361872602,1.5182758398846197e-06,-5.196230800034313e-07
466818210.856019,-0.43926367932153154,-0.013115537116777078,1.4997461796895095e-06,-5.903555054045939e-07
466818338.296004,-0.4392642894530474,-0.013115505515307973,1.3551215569118646e-06,-4.693870300602476e-07
466819156.76322,-0.43926732147260755,-0.013116120675560304,1.3148021513753605e-06,-5.11034121651599e-07
466819319.368011,-0.43926797287074454,-0.013116291652582178,1.2581920591503426e-06,-5.681664611775772e-07
466819452.510399,-0.4392684516574695,-0.013116238778498886,1.2665307683179527e-06,-4.221000944396036e-07
466819598.094401,-0.4392690209650204,-0.01311649414311462,1.22997970775085e-06,-5.755901682606701e-07
466819687.086435,-0.43926935775760845,-0.013116392926350418,1.2189059745426611e-06,-4.1211363760451647e-07
466819765.278406,-0.439269615565462,-0.013116598895308938,1.247323943576184e-06,-5.633873882068818e-07
466819961.752014,-0.4392703725717189,-0.013116686654105156,1.2096697744046203e-06,-5.137497239935535e-07
466820063.099201,-0.43927081009112723,-0.013116743788199993,1.1432989304172025e-06,-5.000313216280833e-07
466820135.848032,-0.4392710989604686,-0.013116755197601472,1.1208823115227418e-06,-4.6059043668118804e-07
466820209.115227,-0.43927139004828164,-0.01311686992967943,1.0981759963057947e-06,-5.241175121788177e-07
466820283.764832,-0.4392716318821892,-0.013116800854672588,1.1298186915476016e-06,-4.0287930135746164e-07
466820356.513622,-0.43927183377979223,-0.013116981927751363,1.1944645735839643e-06,-5.33125203887666e-07
466820507.713607,-0.4392724625474964,-0.013117036772357807,1.1197734314793983e-06,-4.823563046121165e-07
466820624.785633,-0.4392728987355911,-0.013117110059535789,1.1126891022450458e-06,-4.738919097500155e-07
466820738.056031,-0.439273361103741,-0.013117230356390541,1.0655658579383775e-06,-5.151117182574522e-07
466820835.774431,-0.4392737165326588,-0.013117293731590773,1.0684285616791023e-06,-5.102830419427551e-07
466820977.556804,-0.4392742308176967,-0.013117252943728543,1.0740978102496967e-06,-3.7056287269937593e-07
466821062.660828,-0.4392745458668558,-0.013117389509470157,1.0712046182859147e-06,-4.477604357185083e-07
466821148.024035,-0.43927496519306714,-0.01311745900975178,9.650278210426855e-07,-4.577234577751721e-07
466821233.30082,-0.43927525184370236,-0.013117445243224758,9.91252507687168e-07,-3.844917999332176e-07
466821318.491225,-0.43927556689281894,-0.013117581809022292,9.888048052575371e-07,-4.6166465889931063e-07
466821447.486421,-0.43927603014873506,-0.013117508995617696,9.989717253411357e-07,-2.989415870367773e-07
466821532.676826,-0.4392763611718827,-0.013117764312482768,9.806587997762684e-07,-4.948961366008781e-07
466821617.953612,-0.43927666690287215,-0.013117779509234304,9.879987420413627e-07,-4.506828088363113e-07
466821703.144017,-0.4392770147885133,-0.013117726027149869,9.529106556604994e-07,-3.378633713704837e-07
466821788.507223,-0.4392773404868589,-0.013117967809232106,9.406883696438939e-07,-5.202004509097247e-07
466821868.772811,-0.43927764311205647,-0.013117838354319717,9.328597889712853e-07,-3.3486212684501193e-07
466821949.124819,-0.4392779741355023,-0.013117937378252982,8.969896691524148e-07,-3.779539764787315e-07
466822029.390407,-0.43927825235478385,-0.013118078011369792,9.136456760594491e-07,-4.6272676092889986e-07
466822109.656034,-0.4392785855971952,-0.013118045918460879,8.753182177412278e-07,-3.7478519320649495e-07
466822190.094423,-0.4392788908844518,-0.013118040450803635,8.65620471746098e-07,-3.1336052071923026e-07
466822264.91683,-0.439279132717656,-0.013118205815659882,8.987754303024786e-07,-4.266858720392702e-07
466822345.095997,-0.43927945930386075,-0.013118254487391496,8.669031293373486e-07,-4.1960404077549807e-07
466822425.361624,-0.4392797250986897,-0.013118363539286063,8.961800528894948e-07,-4.7285438795931223e-07
466822505.713633,-0.4392800645533671,-0.013118308163858682,8.521549592632738e-07,-3.616296358581461e-07
466822586.065601,-0.4392803853709144,-0.013118400782782168,8.268072818617966e-07,-3.984116600172505e-07
466904154.318403,-0.4396017182318624,-0.013153095146575918,1.5046372797700158e-06,-5.611878486320998e-07
466904275.883223,-0.4396021526350863,-0.013153085801457494,1.5491215162311e-06,-5.38719873184948e-07
466904391.572799,-0.43960272813469914,-0.013153239770969103,1.42928551649657e-06,-6.803002266502628e-07
466904495.771228,-0.4396030147855818,-0.01315306972900244,1.5529724964880032e-06,-4.991828311904506e-07
466904713.585617,-0.439604059752535,-0.01315297133828747,1.3655671415868653e-06,-3.778952400480817e-07
466905204.07843,-0.4396060347409976,-0.013153283423541651,1.3207217243182967e-06,-6.396866971021542e-07
466905299.550413,-0.4396064629310251,-0.01315329736091704,1.2680668726172684e-06,-6.440394056533849e-07
466905405.995218,-0.439606826785988,-0.01315320635882332,1.3228481429150563e-06,-5.424299653767478e-07
466905596.507201,-0.43960765743465074,-0.01315312974095477,1.2413055802684703e-06,-4.470354232760654e-07
466905718.763226,-0.4396081206789543,-0.01315313510179164,1.2586743237674725e-06,-4.404877193258522e-07
466905813.976027,-0.43960852046720167,-0.01315323314453297,1.2331296397327662e-06,-5.293325420069328e-07
466905909.275208,-0.4396088852044697,-0.013153261617748744,1.2429255458745736e-06,-5.486666107869242e-07
466906050.7984,-0.4396095352607918,-0.013153136202147881,1.148974550835291e-06,-4.0980308959118195e-07
466906146.011201,-0.4396097903933495,-0.013153296345457297,1.2679124301584466e-06,-5.609825997482387e-07
466906241.0512,-0.4396101981793992,-0.013153141179231463,1.2334687719550708e-06,-3.9693599503815014e-07
466906346.372817,-0.4396107439483288,-0.01315331726132545,1.1013740098264613e-06,-5.632554927383765e-07
