	id	timeframe	start_sec	end_sec	n_obs	duration_hours	residual_ra_last_mean	residual_ra_last_std	residual_dec_last_mean	residual_dec_last_std	start_dt	end_dt	weight_ra	weight_dec	mean_weight	weight_ra_scaled	weight_dec_scaled	mean_weight_scaled
16	119_nm0017	16	-3.29069714e+08	-3.29069714e+08	1	0.00000000e+00	-2.17557676e-01	9.15895718e-01	-3.82558560e-01	3.24903190e-01	1989-07-28 19:44:46.487366	1989-07-28 19:44:46.487366	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
17	119_nm0017	17	-3.28724762e+08	-3.28724762e+08	1	0.00000000e+00	2.66543099e-02	9.15895718e-01	6.40209797e-01	3.24903190e-01	1989-08-01 19:33:57.623253	1989-08-01 19:33:57.623253	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
18	119_nm0017	18	-3.26654255e+08	-3.26654255e+08	1	0.00000000e+00	-3.28404447e-01	9.15895718e-01	1.20854805e-01	3.24903190e-01	1989-08-25 18:42:24.502755	1989-08-25 18:42:24.502755	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
19	119_nm0017	19	-3.26567905e+08	-3.26567905e+08	1	0.00000000e+00	5.30203912e-02	9.15895718e-01	-6.06926138e-01	3.24903190e-01	1989-08-26 18:41:35.254701	1989-08-26 18:41:35.254701	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
20	119_nm0017	20	-3.26222856e+08	-3.26222856e+08	1	0.00000000e+00	-7.86672567e-01	9.15895718e-01	-3.48778813e-02	3.24903190e-01	1989-08-30 18:32:24.022648	1989-08-30 18:32:24.022648	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
21	119_nm0017	21	-3.25790952e+08	-3.25790952e+08	1	0.00000000e+00	4.76412444e-01	9.15895718e-01	-3.28926246e-01	3.24903190e-01	1989-09-04 18:30:48.118602	1989-09-04 18:30:48.118602	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
22	119_nm0017	22	-3.25704694e+08	-3.25704694e+08	1	0.00000000e+00	-5.56517300e-01	9.15895718e-01	-1.90471002e-01	3.24903190e-01	1989-09-05 18:28:25.558562	1989-09-05 18:28:25.558562	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
23	119_nm0017	23	-3.24238604e+08	-3.24238604e+08	1	0.00000000e+00	-3.91418993e-01	9.15895718e-01	4.77234342e-01	3.24903190e-01	1989-09-22 17:43:16.054409	1989-09-22 17:43:16.054409	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
24	119_nm0017	24	-3.23980404e+08	-3.23980404e+08	1	0.00000000e+00	4.23597226e-01	9.15895718e-01	-4.74439837e-01	3.24903190e-01	1989-09-25 17:26:36.406402	1989-09-25 17:26:36.406402	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
25	119_nm0017	25	-2.93223800e+08	-2.93223800e+08	1	0.00000000e+00	-2.84545737e-01	9.15895718e-01	-1.96997396e-01	3.24903190e-01	1990-09-16 16:56:40.286432	1990-09-16 16:56:40.286432	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
